Category: All categories

Week,angular 2: (Worldwide)
2012-07-08,0
2012-07-15,0
2012-07-22,0
2012-07-29,0
2012-08-05,1
2012-08-12,0
2012-08-19,0
2012-08-26,1
2012-09-02,1
2012-09-09,1
2012-09-16,1
2012-09-23,1
2012-09-30,1
2012-10-07,1
2012-10-14,2
2012-10-21,1
2012-10-28,2
2012-11-04,1
2012-11-11,1
2012-11-18,1
2012-11-25,1
2012-12-02,1
2012-12-09,1
2012-12-16,1
2012-12-23,0
2012-12-30,0
2013-01-06,0
2013-01-13,1
2013-01-20,1
2013-01-27,1
2013-02-03,1
2013-02-10,1
2013-02-17,1
2013-02-24,1
2013-03-03,1
2013-03-10,1
2013-03-17,1
2013-03-24,1
2013-03-31,1
2013-04-07,1
2013-04-14,2
2013-04-21,2
2013-04-28,1
2013-05-05,1
2013-05-12,1
2013-05-19,1
2013-05-26,1
2013-06-02,1
2013-06-09,1
2013-06-16,1
2013-06-23,1
2013-06-30,1
2013-07-07,1
2013-07-14,1
2013-07-21,1
2013-07-28,1
2013-08-04,1
2013-08-11,1
2013-08-18,1
2013-08-25,1
2013-09-01,1
2013-09-08,1
2013-09-15,1
2013-09-22,1
2013-09-29,1
2013-10-06,2
2013-10-13,2
2013-10-20,2
2013-10-27,2
2013-11-03,3
2013-11-10,2
2013-11-17,2
2013-11-24,2
2013-12-01,2
2013-12-08,2
2013-12-15,1
2013-12-22,1
2013-12-29,1
2014-01-05,1
2014-01-12,1
2014-01-19,1
2014-01-26,1
2014-02-02,1
2014-02-09,1
2014-02-16,2
2014-02-23,1
2014-03-02,2
2014-03-09,2
2014-03-16,2
2014-03-23,3
2014-03-30,2
2014-04-06,2
2014-04-13,2
2014-04-20,2
2014-04-27,2
2014-05-04,2
2014-05-11,2
2014-05-18,2
2014-05-25,1
2014-06-01,2
2014-06-08,2
2014-06-15,2
2014-06-22,2
2014-06-29,1
2014-07-06,2
2014-07-13,2
2014-07-20,1
2014-07-27,1
2014-08-03,2
2014-08-10,1
2014-08-17,2
2014-08-24,1
2014-08-31,2
2014-09-07,1
2014-09-14,2
2014-09-21,2
2014-09-28,2
2014-10-05,2
2014-10-12,3
2014-10-19,3
2014-10-26,5
2014-11-02,4
2014-11-09,3
2014-11-16,3
2014-11-23,3
2014-11-30,3
2014-12-07,3
2014-12-14,3
2014-12-21,2
2014-12-28,1
2015-01-04,2
2015-01-11,2
2015-01-18,2
2015-01-25,3
2015-02-01,3
2015-02-08,3
2015-02-15,3
2015-02-22,3
2015-03-01,6
2015-03-08,6
2015-03-15,5
2015-03-22,5
2015-03-29,5
2015-04-05,5
2015-04-12,5
2015-04-19,5
2015-04-26,5
2015-05-03,5
2015-05-10,5
2015-05-17,5
2015-05-24,5
2015-05-31,5
2015-06-07,5
2015-06-14,5
2015-06-21,6
2015-06-28,5
2015-07-05,5
2015-07-12,5
2015-07-19,6
2015-07-26,5
2015-08-02,5
2015-08-09,6
2015-08-16,6
2015-08-23,7
2015-08-30,7
2015-09-06,7
2015-09-13,7
2015-09-20,7
2015-09-27,7
2015-10-04,7
2015-10-11,7
2015-10-18,9
2015-10-25,10
2015-11-01,11
2015-11-08,10
2015-11-15,11
2015-11-22,11
2015-11-29,10
2015-12-06,11
2015-12-13,18
2015-12-20,13
2015-12-27,12
2016-01-03,15
2016-01-10,15
2016-01-17,16
2016-01-24,16
2016-01-31,18
2016-02-07,18
2016-02-14,18
2016-02-21,21
2016-02-28,22
2016-03-06,23
2016-03-13,24
2016-03-20,23
2016-03-27,24
2016-04-03,26
2016-04-10,27
2016-04-17,29
2016-04-24,29
2016-05-01,32
2016-05-08,36
2016-05-15,36
2016-05-22,37
2016-05-29,39
2016-06-05,40
2016-06-12,40
2016-06-19,40
2016-06-26,44
2016-07-03,42
2016-07-10,44
2016-07-17,45
2016-07-24,45
2016-07-31,48
2016-08-07,46
2016-08-14,45
2016-08-21,49
2016-08-28,49
2016-09-04,49
2016-09-11,64
2016-09-18,63
2016-09-25,63
2016-10-02,62
2016-10-09,63
2016-10-16,64
2016-10-23,66
2016-10-30,64
2016-11-06,66
2016-11-13,72
2016-11-20,68
2016-11-27,73
2016-12-04,70
2016-12-11,73
2016-12-18,73
2016-12-25,59
2017-01-01,70
2017-01-08,77
2017-01-15,80
2017-01-22,80
2017-01-29,86
2017-02-05,87
2017-02-12,89
2017-02-19,91
2017-02-26,95
2017-03-05,93
2017-03-12,92
2017-03-19,97
2017-03-26,98
2017-04-02,96
2017-04-09,95
2017-04-16,93
2017-04-23,96
2017-04-30,93
2017-05-07,96
2017-05-14,98
2017-05-21,97
2017-05-28,99
2017-06-04,95
2017-06-11,100
2017-06-18,100
2017-06-25,94
2017-07-02,98
